,DATE_ONLY,HOUR,WIND_DIRECTION,WIND_SPEED,TEMPERATURE,INDOOR_TEMP,HUMIDITY
0,2022-01-01,0,222.5,32.25,23.675,24.26,67.39205876841262
1,2022-01-01,1,180.0,15.0,23.3,24.34,
2,2022-01-01,2,180.0,26.0,23.3,23.45,
3,2022-01-01,3,140.0,21.0,22.8,22.3,
4,2022-01-01,4,180.0,15.0,22.2,23.72,
5,2022-01-01,5,250.0,26.0,22.8,24.21,68.39161972915635
6,2022-01-01,6,,,,24.59,
7,2022-01-01,7,,,,24.38,
8,2022-01-01,8,,,,25.21,
9,2022-01-01,9,,,,24.31,
10,2022-01-01,10,,,,24.31,
11,2022-01-01,11,,,,24.91,
12,2022-01-01,12,,,,26.25,80.48113189139511
13,2022-01-01,13,220.0,21.0,19.177777777777777,23.73,
14,2022-01-01,14,,,,24.71,
15,2022-01-01,15,,,,23.53,
16,2022-01-01,16,,,,24.01,
17,2022-01-01,17,203.33333333333334,15.0,19.099999999999998,24.31,
18,2022-01-01,18,202.5,22.0,19.725,24.65,64.23974258801178
19,2022-01-01,19,130.0,36.0,23.9,25.36,
20,2022-01-01,20,150.0,51.0,25.6,23.16,
21,2022-01-01,21,150.0,41.0,26.1,23.97,
22,2022-01-01,22,120.0,57.0,27.8,23.34,
23,2022-01-01,23,130.0,57.0,26.7,24.02,
24,2022-01-02,0,125.0,69.5,26.7,24.14,
25,2022-01-02,1,120.0,72.0,26.1,22.04,
26,2022-01-02,2,130.0,57.0,25.0,24.49,
27,2022-01-02,3,140.0,36.0,24.4,24.05,62.33838400926498
28,2022-01-02,4,170.0,21.0,23.3,21.92,
29,2022-01-02,5,210.0,15.0,22.8,24.12,
30,2022-01-02,6,147.5,22.0,23.025,22.94,
31,2022-01-02,7,,,,25.05,
32,2022-01-02,8,,,,23.98,
33,2022-01-02,9,,,,25.3,
34,2022-01-02,10,351.6363636363636,15.0,22.254545454545454,25.89,
35,2022-01-02,11,218.0,23.0,22.119999999999997,24.97,
36,2022-01-02,12,,,,24.21,
37,2022-01-02,13,190.0,21.0,20.0,25.02,
38,2022-01-02,14,230.0,26.0,20.0,26.12,
39,2022-01-02,15,,,,24.35,
40,2022-01-02,16,210.0,26.0,19.4,23.19,
41,2022-01-02,17,190.0,21.0,21.1,23.9,
42,2022-01-02,18,185.0,26.0,22.200000000000003,23.39,
43,2022-01-02,19,140.0,51.0,26.1,24.92,
44,2022-01-02,20,150.0,51.0,27.2,24.06,
45,2022-01-02,21,130.0,82.0,27.8,21.56,64.92505089773465
46,2022-01-02,22,130.0,67.0,29.4,23.55,
47,2022-01-02,23,110.0,62.0,27.8,23.18,
48,2022-01-03,0,105.0,62.0,26.700000000000003,21.5,70.98477532005091
49,2022-01-03,1,120.0,57.0,25.6,22.57,
50,2022-01-03,2,140.0,51.0,25.6,21.6,
51,2022-01-03,3,140.0,31.0,24.4,21.99,
